day,start,duration
17,1723868069668,5005
17,1723868084676,5000
17,1723872433670,3246
17,1723877560675,2976
17,1723880803668,3385
17,1723882140668,5079
17,1723892360663,3917
17,1723929734683,2610
17,1723929802677,3133
17,1723929808096,3539
17,1723929869684,2897
17,1723929879734,2563
17,1723929999679,3239
17,1723930020695,3021
17,1723930130687,3820
17,1723930134507,2585
17,1723930324626,2556
17,1723930361623,3308
17,1723930431686,3708
17,1723930451670,3478
17,1723930502672,4408
17,1723930509677,3400
17,1723930573674,3605
17,1723930580712,2651
17,1723930700679,3325
17,1723930808722,2877
17,1723930829691,2517
17,1723930833678,3729
17,1723930858761,2836
17,1723930865617,2982
17,1723931025683,2504
17,1723931089632,2552
17,1723931344682,2608
17,1723931388684,4023
17,1723931409679,4258
17,1723931413937,3178
17,1723931459687,3126
17,1723931545675,2624
17,1723931599685,3146
17,1723931609687,3429
17,1723931669621,2942
17,1723931674683,6495
17,1723931743692,2629
17,1723931808687,2795
17,1723931811482,4702
17,1723931828902,3047
17,1723931840893,3860
17,1723931855201,3296
17,1723931878680,2525
17,1723931881997,3128
17,1723931895684,2820
17,1723931935688,2515
17,1723932009617,3814
17,1723932031686,3103
17,1723932151684,2610
17,1723932243622,2677
17,1723932264616,3065
17,1723932313686,4354
17,1723932328691,3012
17,1723932347629,4460
17,1723932520690,2700
17,1723932612607,2894
17,1723932615501,2585
17,1723932750675,3793
17,1723932777684,3424
17,1723932821781,2730
17,1723932842668,2731
17,1723932886609,2585
17,1723932891669,4286
17,1723933030669,2637
17,1723933033306,3650
17,1723933102670,2859
17,1723933776672,2911
17,1723933842682,3207
17,1723933910670,2542
17,1723933990684,3043
17,1723934106991,3056
17,1723934235683,3314
17,1723934270678,4411
17,1723934411723,3082
17,1723934615680,3220
17,1723934685672,2788
17,1723934754688,3399
17,1723934758087,3429
17,1723934988677,3816
17,1723935034673,2970
17,1723935083699,2965
17,1723935104684,2815
17,1723935149688,2520
17,1723935199673,3592
17,1723935218621,2811
17,1723935229705,2990
17,1723935241899,2508
17,1723935625681,2912
17,1723935781686,2624
17,1723935851677,2604
17,1723935875705,3200
17,1723935938683,2804
17,1723935942673,2812
17,1723936006683,2609
17,1723936012617,3673
17,1723936346678,2810
17,1723936549653,2644
17,1723937111679,2814
17,1723937601679,2751
17,1723937604674,3103
17,1723937670691,3203
17,1723937739681,2992
17,1723937744684,3209
17,1723938006684,3324
17,1723938308684,3506
17,1723938341690,2807
17,1723938450675,3228
17,1723938539683,3857
17,1723938590677,2593
17,1723938606678,2527
17,1723938660664,3424
17,1723938674691,2795
17,1723938730668,4817
17,1723938741682,2722
17,1723938885688,2903
18,1723939267694,3407
18,1723939294690,2920
18,1723939337321,3384
18,1723939402769,2664
18,1723939416785,2705
18,1723939435909,2524
18,1723939464708,3047
18,1723939480529,3477
18,1723939491117,3023
18,1723939503678,4766
18,1723939550899,2673
18,1723939616705,2597
18,1723939628199,3593
18,1723939633428,3183
18,1723939663833,4065
18,1723939675817,2694
18,1723939678511,2891
18,1723939691108,4244
18,1723939706767,2720
18,1723939711258,2839
18,1723939720679,3333
18,1723939724985,2591
18,1723939749677,3423
18,1723939753694,4533
18,1723939800179,3486
18,1723939815693,2910
18,1723939971675,3134
18,1723940144634,2856
18,1723940174610,3923
18,1723940656684,2788
18,1723940702696,3191
18,1723940729672,3573
18,1723940741776,2912
18,1723940746668,3724
18,1723940770614,4371
18,1723940941618,3671
18,1723940945289,3796
18,1723940957685,2742
18,1723940997977,2716
18,1723941010669,3521
18,1723941150686,2818
18,1723941364679,2818
18,1723941484687,4449
18,1723941614688,2654
18,1723941746672,2630
18,1723941777682,3620
18,1723941848683,2760
18,1723941918680,2508
18,1723941942691,2519
18,1723942020089,2502
18,1723942122691,4789
18,1723942186677,3044
18,1723942218668,4759
18,1723942341693,2597
18,1723942377685,2507
18,1723942423679,2614
18,1723942477682,2722
18,1723942492610,3373
18,1723942814683,4393
18,1723942822684,2890
18,1723943095613,2655
18,1723943164673,2826
18,1723943213616,2833
18,1723943277679,2757
18,1723943576684,3753
18,1723943593687,4277
18,1723943646673,4454
18,1723943661680,2892
18,1723943717612,5077
18,1723943726670,4347
18,1723943994674,3059
18,1723944048612,2588
18,1723944064623,3015
18,1723944114676,4893
18,1723944274690,2511
18,1723944317697,4147
18,1723944452687,4521
18,1723944521664,2870
18,1723944553614,2573
18,1723944589665,2824
18,1723944763687,3636
18,1723944904696,3022
18,1723944990698,3295
18,1723945124980,3875
18,1723945183670,2833
18,1723945191673,2919
18,1723945254689,2501
18,1723945321673,3031
18,1723945324704,3621
18,1723945396683,3330
18,1723945466672,5017
18,1723945520673,3853
18,1723945537617,4663
18,1723945587605,4621
18,1723945675689,2919
18,1723945772686,3263
18,1723945847677,3610
18,1723945937673,3788
18,1723945975682,3615
18,1723946105681,4432
18,1723946144620,2838
18,1723946236677,2925
18,1723946348683,3463
18,1723946365684,3256
18,1723946419690,3610
18,1723946490683,3834
18,1723946495678,4128
18,1723946561699,2615
18,1723946817674,2525
18,1723946838616,3117
18,1723947002995,2852
18,1723947051111,3229
18,1723947123609,2675
18,1723947159886,3126
18,1723947171099,2629
18,1723947192683,2717
18,1723947269674,2918
18,1723947291613,3491
18,1723947433679,2847
18,1723947547680,3877
18,1723947613616,3908
18,1723947840695,3333
18,1723947966684,2804
18,1723948050670,3450
18,1723948067683,3474
18,1723948078847,3353
18,1723948365694,3110
18,1723973540905,5783
19,1724038064053,3662
19,1724039418625,3509
19,1724102924760,11016
19,1724103130719,6019
19,1724103143209,3707
19,1724107501706,3028
20,1724123734700,6010
21,1724218474722,6053
21,1724223658688,6019
21,1724279034000,7390000
22,1724287607685,0
22,1724304748664,0
22,1724306512673,0
22,1724306658679,0
22,1724306661678,0
22,1724306734672,0
22,1724306881689,0
22,1724307007680,0
22,1724307009677,0
22,1724307085684,0
22,1724307157669,0
22,1724307229668,0
22,1724307377678,0
22,1724307449708,0
22,1724307597670,0
22,1724307747642,0
22,1724307819690,0
22,1724307967693,0
22,1724308042670,0
22,1724308114679,0
22,1724308259637,0
22,1724308262685,0
22,1724308334664,0
22,1724308408674,0
22,1724308483663,0
22,1724308553664,0
22,1724308556674,0
22,1724308630664,0
22,1724308702663,0
22,1724308705664,0
22,1724308778603,0
22,1724308850673,0
22,1724308922679,0
22,1724309076664,0
22,1724309225664,0
22,1724309230627,0
22,1724309234683,0
22,1724309241672,0
22,1724309296664,0
22,1724309299667,0
22,1724309383621,0
22,1724309426678,0
22,1724309498679,0
22,1724309565673,0
22,1724309636669,0
22,1724309639683,0
22,1724309712619,0
22,1724309779677,0
22,1724309782677,0
22,1724309860669,0
22,1724309930689,0
22,1724309932688,0
22,1724310006722,0
22,1724310081679,0
22,1724310159668,0
22,1724310233606,0
22,1724310308680,0
22,1724310382620,0
22,1724310530692,0
22,1724310602718,0
22,1724310752682,0
22,1724310827683,0
22,1724310901606,0
22,1724311048680,0
22,1724311051689,0
22,1724311123668,0
22,1724311125677,0
22,1724311135670,0
22,1724311198679,0
22,1724311270606,0
22,1724311342605,0
22,1724311347680,0
22,1724311492603,0
22,1724311495678,0
22,1724311570674,0
22,1724311643674,0
22,1724311648671,0
22,1724311791664,0
22,1724311855667,0
22,1724311927607,0
22,1724312013664,0
22,1724312088663,0
22,1724312160664,0
22,1724312175601,0
22,1724312248663,0
22,1724312318663,0
22,1724312321672,0
22,1724312397610,0
22,1724312490664,0
22,1724312545663,0
22,1724312617663,0
22,1724312690609,0
22,1724312693668,0
22,1724312766663,0
22,1724312838664,0
22,1724312913663,0
22,1724312986601,0
22,1724312989600,0
22,1724313133664,0
22,1724313205673,0
22,1724313208663,0
22,1724313282674,0
22,1724313354674,0
22,1724313426678,0
22,1724313428663,0
22,1724313499601,0
22,1724313501608,0
22,1724313574679,0
22,1724313650609,0
22,1724313655664,0
22,1724313723663,0
22,1724313795668,0
22,1724313867673,0
22,1724313870674,0
22,1724313943605,0
22,1724314015674,0
22,1724314242674,0
22,1724314314674,0
22,1724314386603,0
22,1724314535678,0
22,1724314607613,0
22,1724314682663,0
22,1724314755678,0
22,1724314827674,0
22,1724314904663,0
22,1724314975611,0
22,1724315048662,0
22,1724315050663,0
22,1724315123663,0
22,1724315196608,0
22,1724315198663,0
22,1724315271664,0
22,1724315416663,0
22,1724315419609,0
22,1724315491604,0
22,1724315638674,0
22,1724315708674,0
22,1724315784674,0
22,1724315935606,0
22,1724316011664,0
22,1724316085608,0
22,1724316232674,0
22,1724316304674,0
22,1724316452674,0
22,1724316526673,0
22,1724316599673,0
22,1724316671678,0
22,1724316746674,0
22,1724316819663,0
22,1724316967677,0
22,1724317040668,0
22,1724317112674,0
22,1724317340664,0
22,1724317412667,0
22,1724317486663,0
22,1724317560608,0
22,1724317707664,0
22,1724317783682,0
22,1724317931674,0
22,1724318004602,0
22,1724318007600,0
22,1724318080673,0
22,1724318152623,0
22,1724318297663,0
22,1724318299674,0
22,1724318372611,0
22,1724318448609,0
22,1724318519606,0
22,1724318596674,0
22,1724318668663,0
22,1724318742603,0
22,1724318816612,0
22,1724318889663,0
22,1724318963663,0
22,1724319111674,0
22,1724319181611,0
22,1724319184664,0
22,1724319329672,0
22,1724319331600,0
22,1724319404663,0
